unofmsr,Unit of Measures,https://nsgreg.nga.mil/ir/browse?register=PQ&type=um&field=name&show=all&status=all&day=15&month=12&year=2017&sort=nameasc?xyzallow
untcnv,Conversion of one unit to prefferred unit,https://nsgreg.nga.mil/ir/browse?register=PQ&type=um&field=name&show=all&status=all&day=15&month=12&year=2017&sort=nameasc?xyzallow
phclqnty,Physical quantities,https://nsgreg.nga.mil/ir/browse?register=PQ&type=pq&field=name&show=all&status=all&day=15&month=12&year=2017&sort=nameasc?xyzallow
